#: table_doi: 10.17182/hepdata.115022.v2/t35
#: name: ak7_correlations_y3_y3
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $1.0 < |y| < 1.5$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y3_y3.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
1499.0   1410.0   1588.0   1034.0   967.0   1101.0   -0.12924
1499.0   1410.0   1588.0   1174.5   1101.0   1248.0   0.27185
1499.0   1410.0   1588.0   1329.0   1248.0   1410.0   -0.55606
1499.0   1410.0   1588.0   1499.0   1410.0   1588.0   1.0
1499.0   1410.0   1588.0   1686.0   1588.0   1784.0   -0.56178
1499.0   1410.0   1588.0   1892.0   1784.0   2000.0   0.16529
1499.0   1410.0   1588.0   2119.0   2000.0   2238.0   -0.079573
1686.0   1588.0   1784.0   115.0   97.0   133.0   1.2492e-06
1686.0   1588.0   1784.0   153.5   133.0   174.0   -6.1675e-06
1686.0   1588.0   1784.0   197.0   174.0   220.0   2.4291e-05
1686.0   1588.0   1784.0   246.0   220.0   272.0   -5.4173e-05
1686.0   1588.0   1784.0   301.0   272.0   330.0   0.00011686
1686.0   1588.0   1784.0   362.5   330.0   395.0   -0.0002591
1686.0   1588.0   1784.0   431.5   395.0   468.0   0.00059153
1686.0   1588.0   1784.0   508.0   468.0   548.0   -0.0013823
1686.0   1588.0   1784.0   593.0   548.0   638.0   0.0032736
1686.0   1588.0   1784.0   687.5   638.0   737.0   -0.006841
1686.0   1588.0   1784.0   791.5   737.0   846.0   0.014297
1686.0   1588.0   1784.0   906.5   846.0   967.0   -0.029515
1686.0   1588.0   1784.0   1034.0   967.0   1101.0   0.061247
1686.0   1588.0   1784.0   1174.5   1101.0   1248.0   -0.12849
1686.0   1588.0   1784.0   1329.0   1248.0   1410.0   0.27065
1686.0   1588.0   1784.0   1499.0   1410.0   1588.0   -0.56178
1686.0   1588.0   1784.0   1686.0   1588.0   1784.0   1.0
1686.0   1588.0   1784.0   1892.0   1784.0   2000.0   -0.37778
1686.0   1588.0   1784.0   2119.0   2000.0   2238.0   0.18663
1892.0   1784.0   2000.0   115.0   97.0   133.0   -2.4328e-06
1892.0   1784.0   2000.0   153.5   133.0   174.0   2.6732e-06
1892.0   1784.0   2000.0   197.0   174.0   220.0   -7.0373e-06
1892.0   1784.0   2000.0   246.0   220.0   272.0   1.5438e-05
1892.0   1784.0   2000.0   301.0   272.0   330.0   -3.3087e-05
1892.0   1784.0   2000.0   362.5   330.0   395.0   7.4236e-05
1892.0   1784.0   2000.0   431.5   395.0   468.0   -0.00016792
1892.0   1784.0   2000.0   508.0   468.0   548.0   0.00039755
1892.0   1784.0   2000.0   593.0   548.0   638.0   -0.00091754
1892.0   1784.0   2000.0   687.5   638.0   737.0   0.001916
1892.0   1784.0   2000.0   791.5   737.0   846.0   -0.0039387
1892.0   1784.0   2000.0   906.5   846.0   967.0   0.0081472
1892.0   1784.0   2000.0   1034.0   967.0   1101.0   -0.016903
1892.0   1784.0   2000.0   1174.5   1101.0   1248.0   0.035689
1892.0   1784.0   2000.0   1329.0   1248.0   1410.0   -0.074586
1892.0   1784.0   2000.0   1499.0   1410.0   1588.0   0.16529
1892.0   1784.0   2000.0   1686.0   1588.0   1784.0   -0.37778
1892.0   1784.0   2000.0   1892.0   1784.0   2000.0   1.0
1892.0   1784.0   2000.0   2119.0   2000.0   2238.0   -0.58493
2119.0   2000.0   2238.0   115.0   97.0   133.0   -7.7417e-08
2119.0   2000.0   2238.0   153.5   133.0   174.0   -7.0591e-07
